ABACO;INSTRUMENTO DE CÁLCULO
CALHA;CANAL DE ESCOAMENTO
CALMA;PAZ E SERENIDADE
CALMO;SEM AGITAÇÃO
CALOR;ENERGIA TÉRMICA
CALOS;PELE GROSSA DE ATRITO
CALVO;SEM CABELOS
CAMAS;LEITOS DE DESCANSO
CAMBA;VOCABULÁRIO GERAL
CAMPO;TERRA RURAL ABERTA
CANAL;LEITO DE CURSO D'ÁGUA
CANAS;CAULES DE AÇÚCAR
CANIS;VOCABULÁRIO GERAL
CANJA;CALDO NUTRITIVO
CANOA;PEQUENA EMBARCAÇÃO
CANTA;EMITIR MÚSICA VOCAL
CANTO;MÚSICA OU ÂNGULO
CAPAS;AGASALHOS OU ENCADERNAÇÕES
CAPAZ;DOTADO DE PODER
CAPIM;PASTAGEM VERDE
CAPOT;VOCABULÁRIO GERAL
CAPUZ;GORRO ACOPLADO
CARAS;FACES OU ROSTOS
CARDA;VOCABULÁRIO GERAL
CARDO;VOCABULÁRIO GERAL
CARGA;PESO SUPORTADO
CARGO;POSTO DE TRABALHO
CARMA;LEI DE CAUSA E EFEITO
CARNE;TECIDO MUSCULAR NUTRITIVO
CAROS;PREÇO EXORBITANTE
CARPA;PEIXE ORNAMENTAL
CARRO;AUTOMÓVEL DE QUATRO RODAS
CARTA;MISSIVA ENVIADA PELOS CORREIOS
CASAL;DUPLA DE PARCEIROS
CASAR;CONTRAIR MATRIMÔNIO
CASAS;HABITAÇÕES
CASCA;REVESTIMENTO VEGETAL
CASCO;ESTRUTURA DURA DE UNHA/BARCO
CASOS;OCORRÊNCIAS CLÍNICAS OU FÁTICAS
CASTA;GRUPO HEREDITÁRIO
CASTO;IMACULADO
CATAR;SELECIONAR UM A UM
CAUSA;ORIGEM DO EFEITO
CAUTO;PRECAVIDO E CAUTELOSO
CAVAL;REFERENTE A EQUINOS
CAVAS;VOCABULÁRIO GERAL
CAVER;VOCABULÁRIO GERAL
CEDER;TRANSFERIR A POSSE
CEDRO;ÁRVORE AROMÁTICA
CEGAS;PRIVADAS DE VISÃO
CEGOS;SEM A FACULDADE DE ENXERGAR
CEIAZ;VOCABULÁRIO GERAL
CEIFA;VOCABULÁRIO GERAL
CELAS;CUBÍCULOS DE DETENÇÃO
CELTA;ANTIGA CULTURA EUROPEIA
CENAS;QUADROS DE DRAMATURGIA
CENSO;PESQUISA DEMOGRÁFICA
CENTO;CENTENA
CERCA;VALLADO PROTETOR
CERCO;SÍTIO MILITAR
CERDO;VOCABULÁRIO GERAL
CERNE;CENTRO DA MADEIRA / ESSÊNCIA
CERTA;CORRETA E PRECISA
CERTO;EXATO E CORRETO
CERVO;VEADO DA MATA
CESAR;IMPERADOR ROMANO
CESTA;RECIPIENTE TRANÇADO
CESTO;BALAIO DE ROUPA/LIXO
CETRO;SÍMBOLO DE PODER MONÁRQUICO
CHAGA;ÚLCERA DOLOROSA
CHALE;CASA RÚSTICA DE MONTANHA
CHAMA;FOGO ARDENTE
CHAPA;PLACA DE METAL LISA
CHATO;ABUSIVO OU SEM GRAÇA
CHAVE;SEGREDO DE FECHADURA
CHAZS;VOCABULÁRIO GERAL
CHEFE;SUPERVISOR DO SETOR
CHEFX;VOCABULÁRIO GERAL
CHEIA;TRANSBORDANDO DE ÁGUA
CHEIO;SEM CABER MAIS NADA
CHIAO;VOCABULÁRIO GERAL
CHICA;VOCABULÁRIO GERAL
CHICO;VOCABULÁRIO GERAL
CHICZ;VOCABULÁRIO GERAL
CHILE;PAÍS ANDINO
CHINA;POTÊNCIA ORIENTAL
CHIPS;CIRCUITO MICROELETRÔNICO
CHITA;GUEPARDO OU TECIDO
CHOCA;AVE QUE CHOCA OVOS
CHOCO;MOLUSCO MARINHO
CHORA;DERRAMAR LÁGRIMAS
CHORO;LAMENTO EM PRANTO
CHUCH;VOCABULÁRIO GERAL
CHULA;DITADO VULGAR
CHULE;MAU CHEIRO DOS PÉS
CHUTO;GOLPEAR A BOLA
CHUVA;ÁGUA QUE CAI DAS NUVENS
CICLO;PERÍODO QUE COMPLETA VOLTA
CIDRA;FRUTA PARECIDA COM LIMÃO
CIELO;VOCABULÁRIO GERAL
CIFRA;SÍMBOLO DE VALOR
CINCO;DÍGITO NUMÉRICO 5
CINDA;VOCABULÁRIO GERAL
CINTO;CORREIA DE AJUSTE
CINZA;COR NEUTRA OU RESÍDUO
CIPOS;VOCABULÁRIO GERAL
CIRCO;TENDA DE ESPETÁCULOS
CIRCU;VOCABULÁRIO GERAL
CISNE;AVE AQUÁTICA
CITAO;VOCABULÁRIO GERAL
CITAR;FAZER REFERÊNCIA
CIVIL;CIDADÃO COMUM
CIVIS;POPULAÇÃO DA NAÇÃO
CLARA;LUMINOSA OU DO OVO
CLARO;BEM ILUMINADO
CLAVA;VOCABULÁRIO GERAL
CLERO;SACERDÓCIO ORGANIZADO
CLIMA;TEMPO ATMOSFÉRICO
CLIPS;GRAMPO DE FOLHAS
CLONA;VOCABULÁRIO GERAL
CLONE;CÓPIA GENÉTICA
CLORO;DESINFETANTE QUÍMICO
CLUBE;GRÊMIO DE RECREAÇÃO
COALA;MARSUPIAL QUE COME EUCALIPTO
COAXA;VOCABULÁRIO GERAL
COBER;TAPAR COM MANTA
COBLA;VOCABULÁRIO GERAL
COBRA;RÉPTIL VENENOSO OU INOFENSIVO
COBRE;METAL DE FIAÇÃO
COBRO;VOCABULÁRIO GERAL
COCAL;VOCABULÁRIO GERAL
COCAS;VOCABULÁRIO GERAL
COCHO;VOCABULÁRIO GERAL
COCOS;FRUTOS DA PALMEIRA
CODIG;CÓDIGO DE SISTEMA
COFRE;CAIXA FORTE DE VALORES
COGUM;VOCABULÁRIO GERAL
COISA;ENTIDADE OU OBJETO
COITO;VOCABULÁRIO GERAL
COLAR;ADERIR OU JOIA DE PESCOÇO
COLES;VOCABULÁRIO GERAL
COLHO;VOCABULÁRIO GERAL
COLOC;VOCABULÁRIO GERAL
COLON;PARTE DO INTESTINO
COLOR;COLORIR COM TINTA
COMAS;VOCABULÁRIO GERAL
COMBO;COMBINAÇÃO DE ITENS
COMER;NUTRIR O CORPO
COMES;VOCABULÁRIO GERAL
COMET;CORPO CELESTE LUMINOSO
COMPR;VOCABULÁRIO GERAL
COMUM;GERAL E ORDINÁRIO
CONDE;TÍTULO DE NOBRE
CONES;SÓLIDO GEOMÉTRICO
CONGA;VOCABULÁRIO GERAL
CONHE;VOCABULÁRIO GERAL
CONTA;CÁLCULO MATEMÁTICO
CONTE;NARRAR DETALHES
CONTO;FÁBULA OU HISTÓRIA
COPAG;VOCABULÁRIO GERAL
COPAS;NAIPE DO CORAÇÃO
COPOS;VASILHAS DE VIDRO
CORAC;VOCABULÁRIO GERAL
CORAL;ARRECIFE OCEÂNICO
CORDA;AMARRA RESISTENTE
CORES;NUANCES DA LUZ
CORJA;BANDO DE MÁS PESSOAS
CORNO;CHIFRE ANIMAL
COROS;CANTORES EM CORAL
CORPO;ESTRUTURA MATERIAL DO SER
CORRA;ACELERAR OS PASSOS
CORRE;ANDAR COM PRESSA
CORSO;VOCABULÁRIO GERAL
CORTE;FENDIMENTO OU TRIBUNAL
CORVO;PÁSSARO DE PENAS NEGRAS
COSCA;VOCABULÁRIO GERAL
COSMO;UNIVERSO INFINITO
COSTA;BEIRA DO MAR
COSTO;VOCABULÁRIO GERAL
COTAS;PARTES ATRIBUÍDAS
COURO;PELE CURTIDA DE ANIMAL
COUTO;TERRENO PROTEGIDO
COUVE;HORTALIÇA DE FOLHA ESCURA
COVAS;SEPULTURAS NO CHÃO
COVIL;TOCA DE PREDADORES
COXAS;PARTE DAS PERNAS
COZEL;VOCABULÁRIO GERAL
COZER;PREPARAR EM ÁGUA FERVENDO
CRASE;VOCABULÁRIO GERAL
CRAVO;FLOR TRADICIONAL
CREDO;PROFISSÃO DE FÉ
CREME;SUBSTÂNCIA PASTOSA
CREPE;MASSA FINA RECHEADA
CRIAO;VOCABULÁRIO GERAL
CRIAR;DAR FORMA AO NOVO
CRIAS;VOCABULÁRIO GERAL
CRIME;ATO ILÍCITO E PUNÍVEL
CRINA;CABELO DO EQUINO
CRISE;RUPTURA OU EMERGÊNCIA
CRIVO;ANÁLISE MINUCIOSA
CROMO;ELEMENTO METÁLICO DURO
CRUEL;QUE TEM PRAZER NA DOR
CRUZA;HIBRIDIZAÇÃO
CRUZE;VOCABULÁRIO GERAL
CRUZO;INTERSECÇÃO DE CAMINHOS
CUBAS;VOCABULÁRIO GERAL
CUBOS;DADOS DE SEIS LADOS
CUECA;ROUPA ÍNTIMA
CUIDA;TRATAR COM ZELO
CUIDO;VOCABULÁRIO GERAL
CUJAS;VOCABULÁRIO GERAL
CUJOS;VOCABULÁRIO GERAL
CULPA;REPROVABILIDADE MORAL
CULTO;RITO RELIGIOSO OU ERUDITO
CUMES;PICOS ELEVADOS
CUNHA;FERRAMENTA DE RACHAR
CUNHO;MARCA OU CARÁTER
CUPIM;PRAGA DA MADEIRA SECA
CUPOM;VOUCHER DE BENEFÍCIO
CURAR;SARAR ENFERMIDADE
CURAS;VOCABULÁRIO GERAL
CURIA;GOVERNO DA IGREJA
CURRY;CONDIMENTO PICANTE
CURSO;TRAJETO OU DISCIPLINA
CURTA;BREVE EM EXTENSÃO
CURTO;PEQUENO NO TEMPO/ESPAÇO
CURVA;DESVIO DE LINHA RETA
CURVO;ENVERGADO EM ARCO
CUSTO;PREÇO DE OBTENÇÃO
CYBER;RELATIVO À INFORMÁTICA
DADAS;OFERECIDAS
DADOS;ELEMENTOS COLETADOS
DANCA;MOVIMENTO RÍTMICO
DANDO;ENTREGANDO ALGO
DANOS;PREJUÍZOS SOFRIDOS
DAQUI;DESTE LUGAR
DARDO;ARMA DE PROJÉTIL
DATAR;COLOCAR A DATA
DATAS;DIAS MARCADOS
DEDAL;PROTEÇÃO PARA COSTURA
DEDOS;EXTREMIDADES DA MÃO
DEITA;REPOUSAR NA CAMA
DEITO;RECLINAR NO LEITO
DEIXA;PERMITIR OU ABANDONAR
DEIXE;PERMITA QUE ACONTEÇA
DELAS;PERTENCENTE A ELAS
DELES;PERTENCENTE A ELES
DELTA;FOZ DE UM GRANDE RIO
DENSO;COMPACTO E PESADO
DENTE;ESTRUTURA MASTIGATÓRIA
